"State";"Measure_ID";"Measure_Name";"TECH_SCORE";"LEGACY_SCORE";"Safety_Gap_Percent";"Hospital_num"
"WY";"MORT_30_PN";"Death rate for pneumonia patients";19.1;12.0;7.1;11
"KS";"MORT_30_PN";"Death rate for pneumonia patients";18.42;15.64;2.78;59
"SD";"MORT_30_PN";"Death rate for pneumonia patients";17.14;14.5;2.636;24
"CT";"MORT_30_PN";"Death rate for pneumonia patients";16.5;14.0;2.5;5
"WV";"MORT_30_PN";"Death rate for pneumonia patients";17.81;15.33;2.479;19
"IN";"MORT_30_AMI";"Death rate for heart attack patients";12.35;10.0;2.353;18
"FL";"MORT_30_PN";"Death rate for pneumonia patients";15.56;13.33;2.227;28
"IL";"MORT_30_PN";"Death rate for pneumonia patients";17.19;15.13;2.063;56
"MN";"COMP_HIP_KNEE";"Rate of complications for hip/knee replacement patients";3.58;2.0;1.579;39
"MS";"MORT_30_AMI";"Death rate for heart attack patients";13.57;12.0;1.571;8
"NE";"MORT_30_PN";"Death rate for pneumonia patients";18.42;17.0;1.424;37
"PR";"COMP_HIP_KNEE";"Rate of complications for hip/knee replacement patients";4.0;2.67;1.333;5
"AR";"MORT_30_AMI";"Death rate for heart attack patients";12.67;11.5;1.167;14
"TN";"MORT_30_AMI";"Death rate for heart attack patients";13.17;12.0;1.167;13
"AR";"MORT_30_PN";"Death rate for pneumonia patients";17.89;16.75;1.143;32
"ME";"MORT_30_PN";"Death rate for pneumonia patients";17.14;16.0;1.143;15
"IL";"MORT_30_AMI";"Death rate for heart attack patients";12.39;11.33;1.054;34
"WA";"MORT_30_PN";"Death rate for pneumonia patients";17.63;16.6;1.032;24
"DC";"COMP_HIP_KNEE";"Rate of complications for hip/knee replacement patients";4.0;3.0;1.0;5
"MI";"MORT_30_PN";"Death rate for pneumonia patients";16.69;15.71;0.973;39
"AL";"MORT_30_PN";"Death rate for pneumonia patients";17.7;16.75;0.954;31
"TN";"MORT_30_PN";"Death rate for pneumonia patients";18.2;17.29;0.914;37
"NJ";"MORT_30_AMI";"Death rate for heart attack patients";12.41;11.5;0.909;24
"LA";"MORT_30_AMI";"Death rate for heart attack patients";12.88;12.0;0.875;18
"NM";"COMP_HIP_KNEE";"Rate of complications for hip/knee replacement patients";3.86;3.0;0.857;8
"MO";"MORT_30_AMI";"Death rate for heart attack patients";12.83;12.0;0.833;13
"MT";"COMP_HIP_KNEE";"Rate of complications for hip/knee replacement patients";3.83;3.0;0.833;13
"SD";"COMP_HIP_KNEE";"Rate of complications for hip/knee replacement patients";3.83;3.0;0.833;13
"VT";"COMP_HIP_KNEE";"Rate of complications for hip/knee replacement patients";3.83;3.0;0.833;7
"GA";"COMP_HIP_KNEE";"Rate of complications for hip/knee replacement patients";4.09;3.33;0.761;35
"NJ";"MORT_30_PN";"Death rate for pneumonia patients";15.75;15.0;0.75;5
"WA";"MORT_30_AMI";"Death rate for heart attack patients";12.69;12.0;0.688;17
"LA";"MORT_30_PN";"Death rate for pneumonia patients";17.66;17.0;0.658;39
