"State";"Total_Hospitals";"Tech_Hospitals_num";"Tech_Adoption_Rate"
"HI";11;11.0;100.0
"MN";79;78.0;98.7
"OH";140;136.0;97.1
"NM";31;30.0;96.8
"IA";100;96.0;96.0
"WY";21;20.0;95.2
"VA";78;74.0;94.9
"KY";75;71.0;94.7
"UT";38;36.0;94.7
"SC";54;51.0;94.4
"PA";142;134.0;94.4
"MA";54;51.0;94.4
"OR";51;48.0;94.1
"VT";15;14.0;93.3
"NC";98;91.0;92.9
"MD";42;39.0;92.9
"MO";95;88.0;92.6
"AK";13;12.0;92.3
"LA";78;72.0;92.3
"SD";38;35.0;92.1
"CO";63;58.0;92.1
"NH";25;23.0;92.0
"MT";25;23.0;92.0
"WI";101;92.0;91.1
"MS";64;58.0;90.6
"NE";64;58.0;90.6
"NJ";62;56.0;90.3
"AR";61;55.0;90.2
"GA";102;92.0;90.2
"WA";70;63.0;90.0
"RI";10;9.0;90.0
"FL";175;157.0;89.7
"NY";144;129.0;89.6
"CT";26;23.0;88.5
"AZ";68;60.0;88.2
"CA";278;245.0;88.1
"TX";284;247.0;87.0
"ME";30;26.0;86.7
"IL";156;134.0;85.9
"DE";7;6.0;85.7
"DC";7;6.0;85.7
"IN";104;89.0;85.6
"TN";83;71.0;85.5
"AL";69;59.0;85.5
"NV";27;23.0;85.2
"MI";105;88.0;83.8
"KS";99;83.0;83.8
"ND";29;24.0;82.8
"OK";87;71.0;81.6
"WV";41;33.0;80.5
"ID";31;23.0;74.2
"PR";12;4.0;33.3
"MP";1;0.0;0.0
"GU";1;0.0;0.0
"VI";2;0.0;0.0
